Time,1,2,3,4,5,6,7,8,9,10,11,12
0,0.66259997,0.62060245,0.6082965,0.621312086,0.58837126,0.51747336,0.48744976,0.48580125,0.4472528,0.38237829,0.3820752,0.37752307
1,0.62674543,0.57808889,0.55760915,0.564453722,0.53436337,0.46650934,0.44015533,0.43833556,0.40069628,0.34437119,0.33981587,0.33618503
2,0.58904384,0.53388508,0.50506831,0.50506336,0.47884537,0.41574062,0.39353006,0.3915672,0.35550416,0.30808923,0.29975834,0.29703055
3,0.54993477,0.48875798,0.45199681,0.445029181,0.42341972,0.36646597,0.34860538,0.34654865,0.31263197,0.27404983,0.26257601,0.26069875
4,0.50995531,0.44357384,0.39981386,0.386385939,0.36972113,0.31984839,0.30626708,0.3041795,0.27283447,0.24261696,0.22870968,0.22760329
5,0.46970957,0.39922268,0.34985722,0.330996206,0.31918884,0.27678247,0.26717347,0.26512109,0.23660773,0.21399137,0.19836044,0.19792763
6,0.42982651,0.35653392,0.3032237,0.280284146,0.27289328,0.23782902,0.23172253,0.22976418,0.20418382,0.18822564,0.17152263,0.17165847
7,0.39091268,0.3162024,0.26067214,0.235105325,0.23146283,0.20322156,0.20006576,0.19824632,0.175567,0.1652542,0.14803745,0.14863795
8,0.35350848,0.27874079,0.22260341,0.195763089,0.19510873,0.17292339,0.17215303,0.17050114,0.15059149,0.14492799,0.12764883,0.12861711
9,0.31805537,0.24446507,0.18910254,0.162123042,0.16371235,0.14670546,0.1477896,0.1463188,0.12898205,0.12704646,0.1100508,0.11130077
10,0.28487817,0.21350833,0.16001395,0.133761554,0.13693302,0.12422192,0.12669111,0.12540274,0.11040591,0.11138343,0.09492252,0.09638032
11,0.25418247,0.18585259,0.13502323,0.110101468,0.11430682,0.10507131,0.10852858,0.10741533,0.09451173,0.09770603,0.08195131,0.08355531
12,0.22606407,0.1613674,0.11372865,0.090513995,0.09532252,0.08884026,0.0929615,0.09201057,0.08095565,0.08578743,0.07084614,0.07254604
13,0.20052601,0.13984713,0.09569565,0.074384624,0.07947267,0.07513148,0.07965965,0.07885529,0.06941688,0.07541462,0.06134439,0.06309987
14,0.17749884,0.12104278,0.08049383,0.061149843,0.06628404,0.0635796,0.06831601,0.06764143,0.05960565,0.0663926,0.05321394,0.05499324
15,0.15686085,0.10468658,0.06771961,0.050313497,0.05533263,0.05385845,0.05865334,0.05809195,0.05126597,0.05854607,0.04625271,0.04803121
16,0.13845607,0.09050969,0.05700805,0.041450454,0.04624885,0.04568291,0.05042633,0.04996249,0.04417522,0.05171947,0.04028654,0.04204546
17,0.12210925,0.07825391,0.04803737,0.034203166,0.03871659,0.03880738,0.0434211,0.04304056,0.03814201,0.04577612,0.03516646,0.03689177
18,0.1076374,0.06767884,0.04052889,0.028274781,0.03246906,0.03302256,0.03745313,0.03714323,0.03300305,0.04059676,0.03076563,0.03244709
19,0.09485825,0.05856558,0.0342444,0.023421039,0.02728322,0.0281515,0.03236449,0.03211415,0.02861985,0.03607784,0.02697645,0.02860685
20,0.08359612,0.05071807,0.02898221,0.019442181,0.02297383,0.02404533,0.02802073,0.0278204,0.02487539,0.03212982,0.02370783,0.02528234
21,0.0736856,0.04396286,0.02457266,0.016175509,0.01938775,0.02057938,0.02430787,0.02414936,0.02167102,0.02867545,0.02088271,0.02239835
22,0.06497376,0.03814795,0.02087378,0.013488851,0.01639875,0.01764941,0.0211295,0.02100589,0.01892374,0.02564819,0.01843597,0.01989121
23,0.05732103,0.03314107,0.01776716,0.01127499,0.01390298,0.01516848,0.01840423,0.01830969,0.01656374,0.0229908,0.01631252,0.01770693
24,0.05060143,0.02882776,0.01515424,0.009447003,0.01181505,0.01306411,0.01606344,0.01599306,0.01453231,0.02065403,0.01446577,0.01579977
